,Equipos,Canales,Partidas,Cuentas,Juegos,Elo,Victorias,Derrotas
1, Straight,"





 En vivo


","
En partida
","
Venir à por mi
","
                        238
                    ","

                        I
                        1358pl
                    ","
                        154
                    ","
                        84
                    "
2, Parabellum,"





 En vivo


","
En partida
","
ParaGod
","
                        215
                    ","



","
                        140
                    ","
                        75
                    "
3, El Brayayin,"




 En vivo


","
En partida
","
Bonifacia
","
                        186
                    ","

                        I
                        1309pl
                    ","
                        122
                    ","
                        64
                    "
4, Lukwer,"





 En vivo


","
En partida
","
Chepa Army
","
                        231
                    ","



","
                        137
                    ","
                        94
                    "
5, Murillo sama,"




 En vivo


","
En partida
","
DEJAME CARREATE
","
                        265
                    ","

                        I
                        1023pl
                    ","
                        150
                    ","
                        115
                    "
6, StepZ,"




 En vivo


","
En partida
","
step z z
","
                        280
                    ","



","
                        157
                    ","
                        123
                    "
7, Rein,"





 En vivo


","
En partida
","
REDBULL ABUSER
","
                        222
                    ","

                        I
                        745pl
                    ","
                        130
                    ","
                        92
                    "
8, Hugrock,"





 En vivo


","
En partida
","
LLEGO EI UBER
","
                        275
                    ","



","
                        160
                    ","
                        115
                    "
9, zenitsu,"





 En vivo


","
En partida
","
script3r
","
                        288
                    ","

                        I
                        652pl
                    ","
                        170
                    ","
                        118
                    "
10, zeith,"




 En vivo


","
En partida
","
Cerrando ciclos
","
                        152
                    ","



","
                        93
                    ","
                        59
                    "
11, Crecre,"





 En vivo


","
En partida
","
Top no mueras xd
","
                        281
                    ","

                        I
                        602pl
                    ","
                        159
                    ","
                        122
                    "
12, Methodz,"





 En vivo


","
En partida
","
lose mind win lp
","
                        147
                    ","



","
                        89
                    ","
                        58
                    "
13, AnotherDeivid,"





 En vivo


","
En partida
","
Noxian Meow
","
                        158
                    ","

                        I
                        557pl
                    ","
                        96
                    ","
                        62
                    "
14, Mawuf,"





 En vivo


","
En partida
","
Fairers Tre
","
                        163
                    ","



","
                        96
                    ","
                        67
                    "
15, Feng,"





 En vivo


","
En partida
","
TwitchTvFenglolz
","
                        93
                    ","

                        I
                        417pl
                    ","
                        63
                    ","
                        30
                    "
16, Masorco,"





 En vivo


","
En partida
","
sheiden9
","
                        201
                    ","



","
                        116
                    ","
                        85
                    "
17, Taaaavoo,"





 En vivo


","
En partida
","
ADCMACHINEXD69FF
","
                        185
                    ","

                        I
                        416pl
                    ","
                        105
                    ","
                        80
                    "
